Coverage,Dataset
0.9064327485380117,WQ
0.9005847953216374,WQ
0.8978147122191443,WQ
0.9027393044013543,WQ
0.9128962757771623,WQ
0.9024315173899662,WQ
0.8873499538319483,WQ
0.8879655278547245,WQ
0.9002770083102493,WQ
0.9116651277316097,WQ
0.8815533980582524,CCS
0.8912621359223301,CCS
0.9087378640776699,CCS
0.9223300970873787,CCS
0.9184466019417475,CCS
0.8912621359223301,CCS
0.8970873786407767,CCS
0.8737864077669902,CCS
0.8776699029126214,CCS
0.8718446601941747,CCS
0.9070796460176991,PT
0.892784206943499,PT
0.8968686181075561,PT
0.8955071477195371,PT
0.9040163376446563,PT
0.9223961878829136,PT
0.8941456773315181,PT
0.8924438393464942,PT
0.9084411164057182,PT
0.9179714091218516,PT
0.8876651982378855,QFT
0.8656387665198237,QFT
0.8259911894273128,QFT
0.9118942731277533,QFT
0.9052863436123348,QFT
0.9052863436123348,QFT
0.9162995594713657,QFT
0.9162995594713657,QFT
0.9030837004405287,QFT
0.8876651982378855,QFT
0.961038961038961,YH
0.8896103896103896,YH
0.8571428571428571,YH
0.7987012987012987,YH
0.8766233766233766,YH
0.9025974025974026,YH
0.8701298701298701,YH
0.9090909090909091,YH
0.922077922077922,YH
0.9090909090909091,YH
