Coverage,Dataset
0.9082794706063404,WQ
0.8990458602646968,WQ
0.8830409356725146,WQ
0.8971991381963681,WQ
0.8971991381963681,WQ
0.8975069252077562,WQ
0.8931979070483226,WQ
0.8858110187750077,WQ
0.8956602031394275,WQ
0.9067405355493998,WQ
0.8854368932038835,CCS
0.8776699029126214,CCS
0.8893203883495145,CCS
0.9009708737864077,CCS
0.8912621359223301,CCS
0.8737864077669902,CCS
0.8854368932038835,CCS
0.916504854368932,CCS
0.8912621359223301,CCS
0.916504854368932,CCS
0.897208985704561,PT
0.9094622191967324,PT
0.8876786929884275,PT
0.9179714091218516,PT
0.899931926480599,PT
0.9063989108236896,PT
0.8948264125255275,PT
0.9016337644656228,PT
0.9152484683458135,PT
0.8914227365554799,PT
0.9162995594713657,QFT
0.8898678414096917,QFT
0.9074889867841409,QFT
0.9008810572687225,QFT
0.9140969162995595,QFT
0.9030837004405287,QFT
0.9118942731277533,QFT
0.8832599118942731,QFT
0.9251101321585903,QFT
0.9295154185022027,QFT
0.9155844155844156,YH
0.8766233766233766,YH
0.8376623376623377,YH
0.9090909090909091,YH
0.9545454545454546,YH
0.922077922077922,YH
0.9285714285714286,YH
0.922077922077922,YH
0.9155844155844156,YH
0.8831168831168831,YH
