Coverage,Dataset
0.8965835641735919,WQ
0.9224376731301939,WQ
0.9055093875038474,WQ
0.9012003693444137,WQ
0.8987380732533087,WQ
0.8965835641735919,WQ
0.9153585718682672,WQ
0.9162819329024315,WQ
0.8913511849799939,WQ
0.8848876577408433,WQ
0.8893203883495145,CCS
0.8893203883495145,CCS
0.9184466019417475,CCS
0.8174757281553398,CCS
0.9281553398058252,CCS
0.887378640776699,CCS
0.8990291262135922,CCS
0.887378640776699,CCS
0.9262135922330097,CCS
0.9145631067961165,CCS
0.8893805309734514,PT
0.8880190605854322,PT
0.9033356024506467,PT
0.8876786929884275,PT
0.8944860449285228,PT
0.8914227365554799,PT
0.8842750170183798,PT
0.8846153846153846,PT
0.9070796460176991,PT
0.9132062627637849,PT
0.8788546255506607,QFT
0.8788546255506607,QFT
0.8700440528634361,QFT
0.8502202643171806,QFT
0.8744493392070485,QFT
0.920704845814978,QFT
0.8325991189427313,QFT
0.8656387665198237,QFT
0.8568281938325991,QFT
0.8502202643171806,QFT
0.8831168831168831,YH
0.8376623376623377,YH
0.8636363636363636,YH
0.922077922077922,YH
0.9155844155844156,YH
0.8636363636363636,YH
0.9415584415584416,YH
0.922077922077922,YH
0.9415584415584416,YH
0.9090909090909091,YH
