Coverage,Dataset
0.8956602031394275,WQ
0.89689135118498,WQ
0.8984302862419206,WQ
0.894429055093875,WQ
0.8987380732533087,WQ
0.8864265927977839,WQ
0.9005847953216374,WQ
0.8925823330255463,WQ
0.9021237303785781,WQ
0.8901200369344414,WQ
0.8912621359223301,CCS
0.8679611650485437,CCS
0.9048543689320389,CCS
0.8601941747572815,CCS
0.8815533980582524,CCS
0.883495145631068,CCS
0.8368932038834952,CCS
0.8757281553398059,CCS
0.8640776699029126,CCS
0.9048543689320389,CCS
0.908781484002723,PT
0.8938053097345132,PT
0.8893805309734514,PT
0.897208985704561,PT
0.90571817562968,PT
0.9040163376446563,PT
0.9019741320626277,PT
0.9125255275697753,PT
0.90571817562968,PT
0.9121851599727706,PT
0.8810572687224669,QFT
0.9229074889867841,QFT
0.9030837004405287,QFT
0.8876651982378855,QFT
0.8854625550660793,QFT
0.9140969162995595,QFT
0.8854625550660793,QFT
0.8656387665198237,QFT
0.9361233480176211,QFT
0.9052863436123348,QFT
0.8766233766233766,YH
0.8701298701298701,YH
0.8571428571428571,YH
0.7987012987012987,YH
0.9805194805194806,YH
0.935064935064935,YH
0.948051948051948,YH
0.9025974025974026,YH
0.9155844155844156,YH
0.8701298701298701,YH
